id,premise,hypothesis,label
5130fd2cb5,and these comments were considered in formulating the interim rules.,The rules developed in the interim were put together with these comments in mind.,0
5b72532a0b,"These are issues that we wrestle with in practice groups of law firms, she said. ",Practice groups are not permitted to work on these issues.,2
5622f0c60b,you know they can't really defend themselves like somebody grown uh say my age you know yeah,They can't defend themselves because of their age.,0
fdcd1bd867,From Cockpit Country to St. Ann's Bay,From St. Ann's Bay to Cockpit Country.,2
7cfb3d272c,"Look, it's your skin, but you're going to be in trouble if you don't get busy.",The boss will fire you if he sees you slacking off.,1
dd4f0d9f25,"""If you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it. ",Many people have poisoned someone by mistake.,1
0a3f52c547,"My own little corner of the world, policy wonking, is an example.",An example is policy wonking.,0
4b0eca3ccb,life in prison then he's available for parole if it's if it's life and a day then he's not eligible for parole so what you know let's quit BSing with the system,The system is corrupt because he won't be able to get parole if it's life and a day.,1
cad235551c,"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images.",Vendors have lined the streets with torches and fires.,2
d8b3a4fb06,"North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.",There is nothing special to see in the village of Moria.,2
ad5a79456e,"Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.","Current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living.",0
a7b0b9498c,"It's just the beginning!""",A great journey is about to begin!,1
17c1f14619,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",The Sun makes millions every year off fake news.,1
f5f4dc48c1,Savonarola burned in Florence,Florence became Savonarola's new home.,2
6a98a077a5,"It will be COLOSSAL!""",It will be gigantic.,0
655cc51991,He says men are here.,He said that the men were not here. ,2
89fdd6de05,yeah uh-huh oh yeah petting zoos and things,"Yes, petting and other things.",0
14fa262750,"The almost midtown Massabielle quarter (faubourg de Massabielle), is sometimes described as the most picturesque in the city.",The Massabielle quarter is considered the most photogenic.,0
7e89da4ba3,4) Not enough is known about how nontransportation costs vary with distance.,The ways in which distance affects nontransportation costs is a subject we don't have enough information on.,0
6bb2d551f1,i am surprised though that we do have so many that are in politics down here,I am surprised that not many of them are in politics down here.,2
1589ccaac1,The draft treaty was Tommy's bait.,The treaty bait was not for Tommy.,2
8289cdfc7d,"Therefore, the number of boilermakers may actually grow more quickly than what was assumed.",The number of boil makers will decrease drastically as expected.,2
80001fec89,"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.",As long as Assad doesn't die he will be able to take care of the troubles.,0
d999bfa2a1,The four Javis children? asked Severn.,Severn knows everything about the Jarvis children.,1
d4dd5ba80d,My brain refusing to command properly.,My brain was not commanding properly.,0
ad4b9214af," ""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled.",Your farewell activity didn't go well.,0
097b4dfe2a,You have to walk through it).,You need to pass through it on foot.,0
b0c2761b43,"No, I exclaimed, astonished. ","""No!"" I cried out in shock. ",0
37c01740c6,"Bauerstein had been at Styles on the fatal night, and added: ""He said twice: 'That alters everything.' And I've been thinking. ",Styles is responsible for what happened. ,1
3d3149ec45,"Long ago--or away, or whatever--there was a world called Thar?? and another called Erath.",Erath is the only world that has ever existed.,2
6c12f1e611,"Then, all the time, it was in the spill vase in Mrs. Inglethorp's bedroom, under our very noses? I cried. ","So it was hidden in another country, impossible for us to locate?",2
9832b523a0,because i always had to do it and so i just pay someone else to do it and they do the they do the cutting they fertilize they um edge and um i think this year i'm going to have some landscaping put in,I have never developed a love for gardening. ,1
71bcd59dd6,' She gets a little obsessive about her sauce.,Her sauce is so complicated that she's obsessed with perfecting each ingredient. ,1
aab0894630,"Rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.","While kids today are symbols of success and status, and their parents are too. ",1
7ca8ba219d,China's civil war sent distressing echoes to Hong Kong.,Japan fought a civil war.,2
e390988e6f,"The seven grants flow from a new Nonprofit Capacity Building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than to the program services they provide.","The grants flow from a Nonprofit Capacity Building program at the foundation, exemplifying a trend among philanthropists to give money to grow organizations and then to take them over.",1
9e42108ae0,"Or, eligibility could be restricted to those who have already been pregnant, or at least sexually active; to those over age 13, or under age 21; or some combination thereof.",The age of consent is age 21 as well.,1
4acead92d8,"In this respect, bringing Steve Jobs back to save Apple is like bringing Gen.",Steve Jobs came back to Apple.,0
7b6768c074,or they had somebody at home that was ill that they had to tend to i mean you can't make it everybody,They did not have anything to do.,2
11788e6295,"from generation to generation (Michiko Kakutani, the New York Times ). A few, like Pearl K. Bell in the Wall Street Journal , find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality.",They complained that the novel lacked any emotions.,2
75cbac107c,"Hey, no problem, a fine policy.","No worries, a good policy.",0
5b09f9eabb,"The m??tro (subway) is the fastest way to move around the city, but the buses, both in the capital and the other big towns, are best for taking in the sights.",Taking the subway is a good way to experience big city life. ,2
c5c2c039e5,"They were so sure of themselves that they took it for granted he had made a mistake.""",They simply assumed that he'd made a mistake.,0
604b64ca7f,i'm on i'm in the Plano school system and living in Richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school,There is a huge amount of poor students and very few wealthy.,1
716eeeea2a,okay and and i think we just hang up i don't think we have to do anything else,"That's it, we just hang up, right? ",0
5de2aa81ed,"They capitalized on the natural resources by using the salt to cure fish, which they exported to their home country.",They used salt to cure fish and sent it back home. ,0
f0e86993ca,"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.",News outlets do not blame users or system administrators for security breaches. ,2
b3c705a914,"To their good fortune, he's proving them right.",He is showing that they were correct.,0
99b71d209e,Too bad it chose to use McIntyre instead.,McIntyre was picked to be used as the closing pitcher.,1
8bbc9fd459,and the other thing is the cost it's almost prohibitive to bring it to a dealer,It's cheap to bring it to a dealer.,2
3c2e8a360d,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.,A whole life policy is the best choice for someone who expects to live to the age of 90.,1
b1ad9fb1ef,"2466, discusses the four collections, which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer-readable database.",2466 discusses four collections.,0
7cc9bb38f9,"The Women's Haven, which provides shelter and outreach to domestic-violence victims, already has a full-time attorney.",There is a full-time attorney at the Women's Haven already.,0
a8bcd9ccf7,uh high humidity,Air with increased water content.,0
80f6ac92a4,"We need to look at the implications that these differing roles have for a range of issues, such as SES core competencies, performance standards, recruitment sources, mobility, and training and development programs.",We can completely ignore the implications of the roles on mobility.,2
eb04f1a8f0,yeah yeah yeah well because that's the way they they might seem outwardly but boy there's a lots going on in there,There is another layer to the surface.,0
e7ad6c38fc,"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.",No consideration will be given to the cost of doing the work in this case.,2
ca2f6459bd,Is there adequate information for judging generalizability?,Output information is way too much generalized.,1
212fc2ad66,The political cleansing that did not happen through the impeachment process leaves Clinton with a great and serious burden.,The impeachment process involved Clinton's husband as well.,1
d5249d1219,isn't it i can remember i've only been here eight years but i can remember coming to work from i used to live in Wylie and i could see downtown Dallas,I have only been here for two years.,2
a38659ed31,"Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.",The US could save more than it invested in the 1980's and 90's.,2
a49ecd3734,"Credibility is a vital factor, and Jim Lehrer does, indeed, have it.",Everyone would believe whatever Jim Lehrer said.,1
952a08b1f3,There should be someone here who knew more of what was going on in this world than he did now.,He knew he was the only person with any idea of what was going on. ,2
ef98cc7a44,"Its scorecard included measures for accuracy, speed and timeliness, unit cost, customer satisfaction, and employee development and satisfaction.",Accuracy and speed are the first measurements listed on the scorecard.,1
dd883e1f46,"On the left of the entrance ramp is the open space once occupied by the Temple of Athena, close to which are the remains of the Pergamene library.",There are no remains visible from the ramp.,2
640c0172a6,"If you are keen to learn Israeli folk dancing, the Bicurei Ha'etim Cellar in Heftman Street will teach you.",The Bicurei Ha'etim Cellar is the only place to learn Israeli folk dancing.,1
c4e8713899,"Or Sherlock Holmes?""",Was it Sherlock Holmes?,0
a14e13370f,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities did not have a railway between them.,0
39d065817a,Tourist Information offices can be very helpful.,Tourist Information offices are never of any help.,2
